Population,State,City
2177,Alabama,Ashford
1926,Alabama,Ashland
57970,Alabama,Auburn
1124,Alabama,Berry
5111,Alabama,Childersburg
607,Alabama,Courtland
7240,Alabama,Demopolis
1015,Alabama,Eclectic
28145,Alabama,Enterprise
2871,Alabama,Eutaw
16847,Alabama,Fairhope
15615,Alabama,Foley
36610,Alabama,Gadsden
4501,Alabama,Geneva
5222,Alabama,Glencoe
8388,Alabama,Guntersville
3173,Alabama,Hanceville
184738,Alabama,Huntsville
12452,Alabama,Irondale
14185,Alabama,Jasper
2982,Alabama,Lafayette
2092,Alabama,Level Plains
2476,Alabama,Midland City
250557,Alabama,Mobile
13431,Alabama,Muscle Shoals
6661,Alabama,Oneonta
6698,Alabama,Opp
22199,Alabama,Pelham
9683,Alabama,Rainbow City
1940,Alabama,Samson
1755,Alabama,Sardis City
4175,Alabama,Springville
248,Alabama,Sweet Water
12762,Alabama,Sylacauga
6323,Alabama,Tarrant
2425,Alabama,Taylor
20235,Alabama,Trussville
6463,Alaska,Bethel
985,Alaska,Bristol Bay Borough
2273,Alaska,Cordova
1263,Alaska,Craig
2438,Alaska,Dillingham
32505,Alaska,Fairbanks
2561,Alaska,Haines
5309,Alaska,Homer
32946,Alaska,Juneau
7422,Alaska,Kenai
8305,Alaska,Ketchikan
6564,Alaska,Kodiak
3375,Alaska,Kotzebue
3805,Alaska,Nome
2236,Alaska,North Pole
9674,Alaska,North Slope Borough
6453,Alaska,Palmer
2981,Alaska,Petersburg
2749,Alaska,Seward
9093,Alaska,Sitka
956,Alaska,Skagway
4418,Alaska,Soldotna
4340,Alaska,Unalaska
4032,Alaska,Valdez
8645,Alaska,Wasilla
220,Alaska,Whittier
2414,Alaska,Wrangell
5077,Arizona,Benson
5463,Arizona,Bisbee
55710,Arizona,Buckeye
39577,Arizona,Bullhead City
10942,Arizona,Camp Verde
50058,Arizona,Casa Grande
248718,Arizona,Chandler
10850,Arizona,Chino Valley
4090,Arizona,Clarkdale
11820,Arizona,Coolidge
11285,Arizona,Cottonwood
17602,Arizona,Eloy
1318,Arizona,Fredonia
7414,Arizona,Globe
4988,Arizona,Holbrook
1811,Arizona,Huachuca City
28400,Arizona,Kingman
52891,Arizona,Lake Havasu City
1473,Arizona,Mammoth
37469,Arizona,Marana
1793,Arizona,Miami
20736,Arizona,Nogales
41493,Arizona,Oro Valley
7330,Arizona,Page
13286,Arizona,Paradise Valley
15192,Arizona,Payson
161641,Arizona,Peoria
4266,Arizona,Pinetop-Lakeside
39209,Arizona,Prescott Valley
3648,Arizona,Quartzsite
9471,Arizona,Safford
26535,Arizona,Sahuarita
28231,Arizona,San Luis
10036,Arizona,Sedona
10732,Arizona,Show Low
9651,Arizona,Snowflake-Taylor
15014,Arizona,Somerton
5694,Arizona,South Tucson
2009,Arizona,Springerville
122497,Arizona,Surprise
4999,Arizona,Thatcher
6583,Arizona,Wickenburg
3678,Arizona,Willcox
3019,Arizona,Williams
9326,Arizona,Winslow
5484,Arkansas,Alma
10829,Arkansas,Arkadelphia
346,Arkansas,Arkansas City
4616,Arkansas,Ashdown
1069,Arkansas,Ash Flat
3036,Arkansas,Atkins
2149,Arkansas,Augusta
2701,Arkansas,Austin
2931,Arkansas,Bald Knob
4733,Arkansas,Barling
1825,Arkansas,Bay
930,Arkansas,Bearden
7744,Arkansas,Beebe
27606,Arkansas,Bella Vista
32548,Arkansas,Benton
15220,Arkansas,Blytheville
2153,Arkansas,Bono
3922,Arkansas,Booneville
768,Arkansas,Bradford
3024,Arkansas,Brinkley
1863,Arkansas,Brookland
19366,Arkansas,Bryant
1975,Arkansas,Bull Shoals
622,Arkansas,Caddo Valley
11726,Arkansas,Camden
760,Arkansas,Cammack Village
1279,Arkansas,Caraway
2210,Arkansas,Carlisle
1881,Arkansas,Cave City
2060,Arkansas,Cave Springs
10377,Arkansas,Centerton
2532,Arkansas,Charleston
4613,Arkansas,Cherokee Village
1576,Arkansas,Clarendon
9319,Arkansas,Clarksville
2561,Arkansas,Clinton
64060,Arkansas,Conway
3254,Arkansas,Corning
954,Arkansas,Cotter
5383,Arkansas,Crossett
2370,Arkansas,Danville
4672,Arkansas,Dardanelle
1766,Arkansas,Decatur
6636,Arkansas,De Queen
2775,Arkansas,Dermott
1657,Arkansas,Des Arc
591,Arkansas,De Valls Bluff
3259,Arkansas,De Witt
1274,Arkansas,Diaz
1126,Arkansas,Dierks
1393,Arkansas,Dover
4481,Arkansas,Dumas
867,Arkansas,Dyer
2342,Arkansas,Earle
18375,Arkansas,El Dorado
2794,Arkansas,Elkins
342,Arkansas,Etowah
2169,Arkansas,Eudora
2075,Arkansas,Eureka Springs
6230,Arkansas,Farmington
77900,Arkansas,Fayetteville
1343,Arkansas,Flippin
4218,Arkansas,Fordyce
15184,Arkansas,Forrest City
2048,Arkansas,Gassville
3341,Arkansas,Gentry
2218,Arkansas,Glenwood
3455,Arkansas,Gosnell
2409,Arkansas,Gravette
5082,Arkansas,Greenbrier
2768,Arkansas,Green Forest
1312,Arkansas,Greenland
9223,Arkansas,Greenwood
881,Arkansas,Greers Ferry
724,Arkansas,Guy
2828,Arkansas,Hamburg
1306,Arkansas,Hampton
763,Arkansas,Hardy
2317,Arkansas,Harrisburg
13234,Arkansas,Harrison
7146,Arkansas,Heber Springs
11591,Arkansas,Helena-West Helena
620,Arkansas,Highfill
1031,Arkansas,Highland
10020,Arkansas,Hope
2131,Arkansas,Horseshoe Bend
35551,Arkansas,Hot Springs
2690,Arkansas,Hoxie
28739,Arkansas,Jacksonville
71114,Arkansas,Jonesboro
2055,Arkansas,Judsonia
733,Arkansas,Keiser
1682,Arkansas,Kensett
2199,Arkansas,Lake City
727,Arkansas,Lakeview
2482,Arkansas,Lake Village
1678,Arkansas,Lamar
1941,Arkansas,Leachville
1861,Arkansas,Lepanto
1244,Arkansas,Lewisville
2345,Arkansas,Lincoln
2699,Arkansas,Little Flock
197399,Arkansas,Little Rock
4244,Arkansas,Lonoke
7832,Arkansas,Lowell
1147,Arkansas,Luxora
746,Arkansas,Madison
11682,Arkansas,Magnolia
10981,Arkansas,Malvern
979,Arkansas,Mammoth Spring
4035,Arkansas,Marianna
2526,Arkansas,Marked Tree
1147,Arkansas,Marmaduke
1112,Arkansas,Marvell
17686,Arkansas,Maumelle
2336,Arkansas,Mayflower
1673,Arkansas,McCrory
4024,Arkansas,McGehee
691,Arkansas,McRae
5721,Arkansas,Mena
302,Arkansas,Menifee
1200,Arkansas,Mineral Springs
1502,Arkansas,Monette
9830,Arkansas,Monticello
6789,Arkansas,Morrilton
12246,Arkansas,Mountain Home
2838,Arkansas,Mountain View
1634,Arkansas,Mulberry
1635,Arkansas,Murfreesboro
4607,Arkansas,Nashville
7658,Arkansas,Newport
1257,Arkansas,Ola
7494,Arkansas,Osceola
3653,Arkansas,Ozark
607,Arkansas,Pangburn
27294,Arkansas,Paragould
3457,Arkansas,Paris
1079,Arkansas,Parkin
5006,Arkansas,Pea Ridge
1448,Arkansas,Perryville
3751,Arkansas,Piggott
822,Arkansas,Plummerville
6592,Arkansas,Pocahontas
3064,Arkansas,Pottsville
4737,Arkansas,Prairie Grove
752,Arkansas,Quitman
454,Arkansas,Ravenden
1428,Arkansas,Redfield
1329,Arkansas,Rison
487,Arkansas,Rose Bud
28760,Arkansas,Russellville
1650,Arkansas,Salem
4834,Arkansas,Sheridan
15873,Arkansas,Siloam Springs
73939,Arkansas,Springdale
1635,Arkansas,Stamps
2206,Arkansas,Star City
9263,Arkansas,Stuttgart
773,Arkansas,Swifton
30074,Arkansas,Texarkana
7163,Arkansas,Trumann
1798,Arkansas,Tuckerman
23063,Arkansas,Van Buren
4202,Arkansas,Vilonia
3516,Arkansas,Waldron
4714,Arkansas,Walnut Ridge
4454,Arkansas,Ward
5947,Arkansas,Warren
699,Arkansas,Weiner
2426,Arkansas,West Fork
25500,Arkansas,West Memphis
5381,Arkansas,White Hall
8323,Arkansas,Wynne
19104,California,Albany
50005,California,Aliso Viejo
2681,California,Alturas
20068,California,American Canyon
345320,California,Anaheim
10098,California,Anderson
71159,California,Apple Valley
17805,California,Arcata
17634,California,Arroyo Grande
16734,California,Artesia
20390,California,Arvin
7278,California,Atherton
3777,California,Avalon
14712,California,Avenal
23144,California,Barstow
5328,California,Bear Valley
40208,California,Beaumont
35928,California,Bell
77594,California,Bellflower
42980,California,Bell Gardens
26697,California,Belmont
2120,California,Belvedere
27558,California,Benicia
5144,California,Big Bear Lake
1711,California,Biggs
3861,California,Bishop
20629,California,Blythe
1080,California,Bradbury
25753,California,Brawley
40600,California,Brea
4429,California,Brisbane
4301,California,Broadmoor
4927,California,Buellton
29936,California,Burlingame
39527,California,Calexico
13339,California,California City
8118,California,Calimesa
5223,California,Calistoga
10944,California,Canyon Lake
10038,California,Capitola
3833,California,Carmel
13287,California,Carpinteria
53064,California,Cathedral City
34105,California,Central Marin
45876,California,Ceres
76943,California,Chino Hills
17696,California,Chowchilla
3729,California,City of Angels
11439,California,Clayton
8718,California,Cloverdale
43330,California,Coachella
16398,California,Coalinga
1481,California,Colma
5957,California,Colusa
12995,California,Commerce
7631,California,Corning
7388,California,Cotati
7333,California,Crescent City
24091,California,Cudahy
39452,California,Culver City
43411,California,Danville
52210,California,Delano
4290,California,Del Mar
1673,California,Del Rey Oaks
27936,California,Desert Hot Springs
56619,California,Diamond Bar
23440,California,Dinuba
18743,California,Dixon
910,California,Dorris
5071,California,Dos Palos
113222,California,Downey
49789,California,Dublin
1589,California,Dunsmuir
29086,California,East Palo Alto
54882,California,Eastvale
43249,California,El Centro
16911,California,El Segundo
7304,California,Escalon
721,California,Etna
10506,California,Exeter
7563,California,Fairfax
10786,California,Farmersville
1364,California,Ferndale
15206,California,Fillmore
8062,California,Firebaugh
73782,California,Folsom
7245,California,Fort Bragg
823,California,Fort Jones
11803,California,Fortuna
56805,California,Fountain Valley
6038,California,Fowler
224475,California,Fremont
59703,California,Gardena
30401,California,Goleta
8428,California,Gonzales
12364,California,Grand Terrace
12792,California,Grass Valley
16922,California,Greenfield
13398,California,Grover Beach
7205,California,Guadalupe
5655,California,Gustine
86132,California,Hawthorne
81698,California,Hemet
19858,California,Hermosa Beach
92621,California,Hesperia
1905,California,Hidden Hills
54462,California,Highland
11245,California,Hillsborough
36414,California,Hollister
6898,California,Hughson
58852,California,Huntington Park
6812,California,Huron
15943,California,Imperial
5174,California,Indian Wells
80243,California,Indio
223,California,Industry
111672,California,Inglewood
7160,California,Ione
1440,California,Irwindale
817,California,Isleton
4549,California,Jackson
5230,California,Kensington
14543,California,Kerman
13260,California,King City
11651,California,Kingsburg
20572,California,La Canada Flintridge
24829,California,Lafayette
31134,California,Laguna Hills
64894,California,Laguna Niguel
16584,California,Laguna Woods
5437,California,La Habra Heights
4674,California,Lakeport
2482,California,Lake Shastina
58482,California,La Mesa
15950,California,La Palma
40415,California,La Puente
31439,California,La Verne
33234,California,Lawndale
44831,California,Lincoln
13208,California,Lindsay
13683,California,Livingston
23701,California,Loma Linda
43581,California,Lompoc
30225,California,Los Altos
8300,California,Los Altos Hills
36965,California,Los Banos
62973,California,Madera
8258,California,Mammoth Lakes
20426,California,Marina
36910,California,Martinez
12168,California,Marysville
27744,California,Maywood
12288,California,McFarland
11472,California,Mendota
82634,California,Menifee
33146,California,Menlo Park
81329,California,Merced
14239,California,Mill Valley
95895,California,Mission Viejo
37071,California,Monrovia
1411,California,Montague
63566,California,Montebello
61152,California,Monterey Park
3491,California,Monte Sereno
35264,California,Moorpark
16664,California,Moraga
10412,California,Morro Bay
77399,California,Mountain View
3309,California,Mount Shasta
78761,California,Napa
4932,California,Needles
3039,California,Nevada City
10691,California,Newman
27497,California,Norco
53735,California,Novato
21340,California,Oakdale
37824,California,Oakley
7585,California,Ojai
9750,California,Orange Cove
18520,California,Orinda
7420,California,Orland
50456,California,Palm Desert
13658,California,Palos Verdes Estates
26222,California,Paradise
14856,California,Parlier
30795,California,Paso Robles
20733,California,Patterson
72171,California,Perris
59224,California,Petaluma
10963,California,Piedmont
7824,California,Pismo Beach
66387,California,Pittsburg
10339,California,Placerville
34044,California,Pleasant Hill
72975,California,Pleasanton
151366,California,Pomona
55267,California,Porterville
21910,California,Port Hueneme
49444,California,Poway
172262,California,Rancho Cucamonga
17816,California,Rancho Mirage
49190,California,Rancho Santa Margarita
25018,California,Reedley
102520,California,Rialto
3368,California,Rio Dell
7622,California,Rio Vista
14802,California,Ripon
23474,California,Riverbank
59621,California,Rocklin
1894,California,Rolling Hills
54587,California,Rosemead
2447,California,Ross
42495,California,San Bruno
65295,California,San Clemente
344,California,Sand City
23955,California,San Fernando
40287,California,San Gabriel
24649,California,Sanger
45714,California,San Jacinto
35585,California,San Juan Capistrano
87712,California,San Marcos
13308,California,San Marino
29893,California,San Pablo
58725,California,San Rafael
74434,California,San Ramon
16936,California,Santa Fe Springs
92488,California,Santa Monica
30159,California,Santa Paula
7066,California,Sausalito
11694,California,Scotts Valley
24798,California,Seal Beach
34147,California,Seaside
7570,California,Sebastopol
23935,California,Selma
17139,California,Shafter
11048,California,Sierra Madre
11240,California,Signal Hill
13239,California,Solana Beach
26637,California,Soledad
5373,California,Solvang
10912,California,Sonoma
20354,California,South El Monte
25937,California,South Pasadena
66157,California,South San Francisco
2562,California,Stallion Springs
5934,California,St. Helena
28805,California,Suisun City
16270,California,Susanville
2445,California,Sutter Creek
9133,California,Tiburon
16146,California,Truckee
61424,California,Tulare
987,California,Tulelake
78836,California,Tustin
25914,California,Twentynine Palms
15874,California,Ukiah
75640,California,Upland
94347,California,Vacaville
5959,California,Villa Park
30279,California,Walnut
8590,California,Waterford
52076,California,Watsonville
2927,California,Weed
2279,California,Westmorland
49751,California,West Sacramento
3522,California,Wheatland
86450,California,Whittier
33453,California,Wildomar
5176,California,Williams
4832,California,Willits
6122,California,Willows
27249,California,Windsor
6992,California,Winters
7417,California,Woodlake
56523,California,Woodland
2969,California,Yountville
7639,California,Yreka
52524,California,Yucaipa
6685,Colorado,Aspen
1565,Colorado,Ault
6336,Colorado,Avon
3818,Colorado,Basalt
5316,Colorado,Berthoud
119,Colorado,Black Hawk
854,Colorado,Blue River
102828,Colorado,Boulder
900,Colorado,Bow Mar
4568,Colorado,Breckenridge
35024,Colorado,Brighton
59424,Colorado,Broomfield
5529,Colorado,Brush
2678,Colorado,Buena Vista
3939,Colorado,Burlington
109,Colorado,Campo
16474,Colorado,Canon City
6522,Colorado,Carbondale
2192,Colorado,Cedaredge
2281,Colorado,Center
675,Colorado,Central City
6297,Colorado,Cherry Hills Village
1315,Colorado,Columbine Valley
8470,Colorado,Cortez
8909,Colorado,Craig
1510,Colorado,Crested Butte
1179,Colorado,Cripple Creek
4373,Colorado,Dacono
502,Colorado,De Beque
1675,Colorado,Del Norte
8799,Colorado,Delta
6466,Colorado,Eagle
4575,Colorado,Eaton
5241,Colorado,Edgewater
1366,Colorado,Elizabeth
279,Colorado,Empire
6064,Colorado,Estes Park
19893,Colorado,Evans
667,Colorado,Fairplay
11894,Colorado,Federal Heights
11128,Colorado,Firestone
3888,Colorado,Florence
150066,Colorado,Fort Collins
7649,Colorado,Fort Lupton
11487,Colorado,Fort Morgan
1167,Colorado,Fowler
9639,Colorado,Frederick
2740,Colorado,Frisco
12723,Colorado,Fruita
243,Colorado,Garden City
1019,Colorado,Georgetown
1733,Colorado,Granby
5884,Colorado,Gunnison
926,Colorado,Haxtun
1780,Colorado,Hayden
2254,Colorado,Holyoke
917,Colorado,Hotchkiss
2390,Colorado,Hudson
1683,Colorado,Idaho Springs
709,Colorado,Ignacio
11437,Colorado,Johnstown
1171,Colorado,Keenesburg
1500,Colorado,Kersey
717,Colorado,Kiowa
7023,Colorado,La Junta
8,Colorado,Lakeside
7801,Colorado,Lamar
2017,Colorado,La Salle
773,Colorado,La Veta
2596,Colorado,Leadville
1864,Colorado,Limon
19291,Colorado,Louisville
1343,Colorado,Mancos
5220,Colorado,Manitou Springs
3886,Colorado,Mead
2528,Colorado,Meeker
5839,Colorado,Milliken
1025,Colorado,Minturn
4423,Colorado,Monte Vista
18918,Colorado,Montrose
434,Colorado,Morrison
1360,Colorado,Mountain Village
799,Colorado,Mount Crested Butte
4571,Colorado,New Castle
37232,Colorado,Northglenn
870,Colorado,Oak Creek
1799,Colorado,Olathe
1710,Colorado,Pagosa Springs
2649,Colorado,Palisade
1417,Colorado,Paonia
1100,Colorado,Parachute
47748,Colorado,Parker
2577,Colorado,Platteville
2479,Colorado,Rangely
3906,Colorado,Rocky Ford
5346,Colorado,Salida
3376,Colorado,Severance
5880,Colorado,Sheridan
2991,Colorado,Silt
3921,Colorado,Silverthorne
375,Colorado,South Fork
1438,Colorado,Springfield
14690,Colorado,Sterling
673,Colorado,Stratton
1436,Colorado,Timnath
8689,Colorado,Trinidad
5241,Colorado,Vail
2960,Colorado,Walsenburg
538,Colorado,Walsh
30882,Colorado,Wheat Ridge
20094,Colorado,Windsor
7185,Colorado,Woodland Park
2373,Colorado,Wray
3563,Colorado,Yuma
19128,Connecticut,Ansonia
18325,Connecticut,Avon
20657,Connecticut,Berlin
20637,Connecticut,Bloomfield
28021,Connecticut,Branford
60642,Connecticut,Bristol
16884,Connecticut,Brookfield
29310,Connecticut,Cheshire
13179,Connecticut,Clinton
12419,Connecticut,Coventry
14290,Connecticut,Cromwell
21229,Connecticut,Darien
29166,Connecticut,East Haven
7636,Connecticut,Easton
60772,Connecticut,Fairfield
25587,Connecticut,Farmington
11326,Connecticut,Granby
62576,Connecticut,Greenwich
18294,Connecticut,Madison
7570,Connecticut,Middlebury
19889,Connecticut,Monroe
31744,Connecticut,Naugatuck
20224,Connecticut,New Canaan
28188,Connecticut,Newtown
24013,Connecticut,North Haven
13926,Connecticut,Orange
15224,Connecticut,Plainfield
9461,Connecticut,Putnam
9341,Connecticut,Redding
25168,Connecticut,Ridgefield
16568,Connecticut,Seymour
40475,Connecticut,Shelton
23651,Connecticut,Simsbury
18561,Connecticut,Stonington
7758,Connecticut,Thomaston
36665,Connecticut,Trumbull
29104,Connecticut,Vernon
19541,Connecticut,Waterford
22183,Connecticut,Watertown
63276,Connecticut,West Hartford
10402,Connecticut,Weston
27279,Connecticut,Westport
26722,Connecticut,Wethersfield
18803,Connecticut,Wilton
29154,Connecticut,Windsor
8954,Connecticut,Woodbridge
1111,Delaware,Bethany Beach
1293,Delaware,Blades
2138,Delaware,Bridgeville
3516,Delaware,Camden
1432,Delaware,Cheswold
3035,Delaware,Clayton
838,Delaware,Dagsboro
1719,Delaware,Delaware City
1655,Delaware,Delmar
352,Delaware,Dewey Beach
393,Delaware,Ellendale
6165,Delaware,Elsmere
1351,Delaware,Felton
395,Delaware,Fenwick Island
887,Delaware,Frankford
806,Delaware,Frederica
6689,Delaware,Georgetown
1017,Delaware,Greenwood
3697,Delaware,Harrington
273,Delaware,Kenton
3873,Delaware,Laurel
2869,Delaware,Lewes
19658,Delaware,Middletown
4018,Delaware,Millsboro
32674,Delaware,Newark
1064,Delaware,Newport
1972,Delaware,Ocean View
1387,Delaware,Rehoboth Beach
2281,Delaware,Selbyville
471,Delaware,South Bethany
71460,Delaware,Wilmington
1400,Delaware,Wyoming
9338,Florida,Alachua
42040,Florida,Altamonte Springs
536,Florida,Altha
2269,Florida,Apalachicola
45397,Florida,Apopka
7615,Florida,Arcadia
1838,Florida,Astatula
12933,Florida,Atlantic Beach
2064,Florida,Atlantis
14048,Florida,Auburndale
37357,Florida,Aventura
8780,Florida,Avon Park
2623,Florida,Bal Harbour Village
17781,Florida,Bartow
5881,Florida,Bay Harbor Islands
3904,Florida,Belleair
1573,Florida,Belleair Beach
2046,Florida,Belleair Bluffs
17925,Florida,Belle Glade
4532,Florida,Belleview
3192,Florida,Biscayne Park
2527,Florida,Blountstown
88749,Florida,Boca Raton
2766,Florida,Bonifay
2902,Florida,Bowling Green
70692,Florida,Boynton Beach
51023,Florida,Bradenton
1196,Florida,Bradenton Beach
7705,Florida,Brooksville
2740,Florida,Bunnell
163461,Florida,Cape Coral
2872,Florida,Carrabelle
26518,Florida,Casselberry
696,Florida,Cedar Key
983,Florida,Center Hill
3055,Florida,Chattahoochee
2219,Florida,Chiefland
3572,Florida,Chipley
108908,Florida,Clearwater
29620,Florida,Clermont
6999,Florida,Clewiston
17238,Florida,Cocoa
11268,Florida,Cocoa Beach
55659,Florida,Coconut Creek
797,Florida,Coleman
33706,Florida,Cooper City
50250,Florida,Coral Gables
126608,Florida,Coral Springs
899,Florida,Cottondale
1554,Florida,Crescent City
22818,Florida,Crestview
1697,Florida,Cross City
3041,Florida,Crystal River
6529,Florida,Dade City
30871,Florida,Dania
3006,Florida,Davenport
96581,Florida,Davie
62381,Florida,Daytona Beach
4260,Florida,Daytona Beach Shores
78203,Florida,Deerfield Beach
5584,Florida,De Funiak Springs
27575,Florida,Deland
48896,Florida,Doral
35493,Florida,Dunedin
1750,Florida,Dunnellon
2252,Florida,Eatonville
20820,Florida,Edgewater
2664,Florida,Edgewood
2411,Florida,El Portal
19001,Florida,Eustis
5314,Florida,Fellsmere
11770,Florida,Fernandina Beach
4611,Florida,Flagler Beach
12132,Florida,Florida City
172398,Florida,Fort Lauderdale
66835,Florida,Fort Myers
42866,Florida,Fort Pierce
20568,Florida,Fort Walton Beach
4208,Florida,Fruitland Park
956,Florida,Golden Beach
2215,Florida,Graceville
38735,Florida,Greenacres City
6994,Florida,Green Cove Springs
622,Florida,Greensboro
1420,Florida,Gretna
9325,Florida,Groveland
6044,Florida,Gulf Breeze
12081,Florida,Gulfport
812,Florida,Gulf Stream
21154,Florida,Haines City
491,Florida,Hampton
1705,Florida,Havana
234182,Florida,Hialeah
22728,Florida,Hialeah Gardens
3642,Florida,Highland Beach
5545,Florida,High Springs
1957,Florida,Hillsboro Beach
11619,Florida,Holly Hill
146643,Florida,Hollywood
4000,Florida,Holmes Beach
1127,Florida,Howey-in-the-Hills
2735,Florida,Indialantic
90,Florida,Indian Creek Village
8256,Florida,Indian Harbour Beach
3989,Florida,Indian River Shores
4150,Florida,Indian Rocks Beach
1432,Florida,Indian Shores
1309,Florida,Inglis
1373,Florida,Interlachen
21783,Florida,Jacksonville Beach
4450,Florida,Jasper
876,Florida,Jennings
3268,Florida,Juno Beach
417,Florida,Jupiter Inlet Colony
843,Florida,Jupiter Island
5001,Florida,Kenneth City
12891,Florida,Key Biscayne
819,Florida,Key Colony Beach
25185,Florida,Key West
64617,Florida,Kissimmee
14148,Florida,Lady Lake
12115,Florida,Lake City
3472,Florida,Lake Clarke Shores
1276,Florida,Lake Hamilton
2619,Florida,Lake Helen
100725,Florida,Lakeland
14836,Florida,Lake Mary
8363,Florida,Lake Park
2125,Florida,Lake Placid
14854,Florida,Lake Wales
36055,Florida,Lake Worth
10689,Florida,Lantana
6322,Florida,Lauderdale-by-the-Sea
34124,Florida,Lauderdale Lakes
69798,Florida,Lauderhill
722,Florida,Lawtey
20910,Florida,Leesburg
10831,Florida,Lighthouse Point
6941,Florida,Live Oak
7026,Florida,Longboat Key
13781,Florida,Longwood
19112,Florida,Lynn Haven
4290,Florida,Madeira Beach
2746,Florida,Madison
16527,Florida,Maitland
434,Florida,Manalapan
1940,Florida,Mangonia Park
16942,Florida,Marco Island
55576,Florida,Margate
9706,Florida,Marianna
5211,Florida,Mascotte
862,Florida,Medley
3116,Florida,Melbourne Beach
666,Florida,Melbourne Village
1098,Florida,Mexico Beach
418394,Florida,Miami
91433,Florida,Miami Beach
111870,Florida,Miami Gardens
10694,Florida,Miami Shores
14361,Florida,Miami Springs
9234,Florida,Milton
9823,Florida,Minneola
2431,Florida,Monticello
12795,Florida,Mount Dora
20292,Florida,Naples
7137,Florida,Neptune Beach
14944,Florida,New Port Richey
23007,Florida,New Smyrna Beach
13880,Florida,Niceville
7431,Florida,North Bay Village
42839,Florida,North Lauderdale
12352,Florida,North Palm Beach
1429,Florida,North Redington Beach
1787,Florida,Oak Hill
2697,Florida,Oakland
43287,Florida,Oakland Park
57144,Florida,Ocala
1840,Florida,Ocean Ridge
39201,Florida,Ocoee
5571,Florida,Okeechobee
13732,Florida,Oldsmar
15848,Florida,Opa Locka
10804,Florida,Orange City
8478,Florida,Orange Park
38442,Florida,Ormond Beach
35889,Florida,Oviedo
6025,Florida,Pahokee
10446,Florida,Palatka
8589,Florida,Palm Beach
50333,Florida,Palm Beach Gardens
1177,Florida,Palm Beach Shores
12911,Florida,Palmetto
24418,Florida,Palmetto Bay
20489,Florida,Palm Springs
11890,Florida,Panama City Beach
4416,Florida,Parker
26264,Florida,Parkland
6282,Florida,Pembroke Park
7000,Florida,Perry
49884,Florida,Pinellas Park
88929,Florida,Plantation
36278,Florida,Plant City
3049,Florida,Ponce Inlet
56850,Florida,Port Orange
2670,Florida,Port Richey
3394,Florida,Port St. Joe
16942,Florida,Punta Gorda
7758,Florida,Quincy
1435,Florida,Redington Beaches
33326,Florida,Riviera Beach
25558,Florida,Rockledge
35478,Florida,Royal Palm Beach
17001,Florida,Safety Harbor
6827,Florida,Sanibel
53046,Florida,Sarasota
10290,Florida,Satellite Beach
702,Florida,Sea Ranch Lakes
22502,Florida,Sebastian
10318,Florida,Sebring
17283,Florida,Seminole
2055,Florida,Sewall's Point
773,Florida,Shalimar
1780,Florida,Sneads
4938,Florida,South Bay
12231,Florida,South Daytona
12142,Florida,South Miami
1203,Florida,South Palm Beach
4990,Florida,South Pasadena
7682,Florida,Southwest Ranches
9089,Florida,Springfield
5394,Florida,Starke
13536,Florida,St. Augustine
6490,Florida,St. Augustine Beach
40213,Florida,St. Cloud
9407,Florida,St. Pete Beach
15920,Florida,Stuart
21735,Florida,Sunny Isles Beach
5980,Florida,Surfside
20753,Florida,Sweetwater
63203,Florida,Tamarac
351314,Florida,Tampa
23720,Florida,Tarpon Springs
14337,Florida,Tavares
25379,Florida,Temple Terrace
5804,Florida,Tequesta
43989,Florida,Titusville
6746,Florida,Treasure Island
1983,Florida,Trenton
3554,Florida,Umatilla
5138,Florida,Valparaiso
15621,Florida,Vero Beach
19092,Florida,Village of Pinecrest
2471,Florida,Virginia Gardens
1025,Florida,Waldo
4918,Florida,Wauchula
840,Florida,Webster
688,Florida,Welaka
59298,Florida,Wellington
19418,Florida,West Melbourne
6254,Florida,West Miami
102510,Florida,West Palm Beach
777,Florida,White Springs
6793,Florida,Wildwood
2728,Florida,Williston
12110,Florida,Wilton Manors
2619,Florida,Windermere
37819,Florida,Winter Garden
35325,Florida,Winter Haven
29259,Florida,Winter Park
33624,Florida,Winter Springs
14023,Florida,Zephyrhills
2888,Georgia,Abbeville
21458,Georgia,Acworth
4686,Georgia,Adairsville
5240,Georgia,Adel
656,Georgia,Adrian
646,Georgia,Alapaha
77365,Georgia,Albany
63442,Georgia,Alpharetta
1159,Georgia,Alto
16190,Georgia,Americus
1752,Georgia,Arcade
3814,Georgia,Ashburn
441,Georgia,Attapulgus
7061,Georgia,Auburn
2789,Georgia,Avondale Estates
3289,Georgia,Baldwin
1484,Georgia,Ball Ground
270,Georgia,Bartow
376,Georgia,Barwick
4434,Georgia,Baxley
562,Georgia,Berlin
3499,Georgia,Blackshear
549,Georgia,Blairsville
4771,Georgia,Blakely
2762,Georgia,Bloomingdale
721,Georgia,Blythe
1318,Georgia,Boston
2042,Georgia,Bowdon
7973,Georgia,Braselton
382,Georgia,Braswell
6203,Georgia,Bremen
49173,Georgia,Brookhaven
1430,Georgia,Brooklet
15709,Georgia,Brunswick
1162,Georgia,Buchanan
2188,Georgia,Buena Vista
1899,Georgia,Butler
4772,Georgia,Byron
9875,Georgia,Cairo
5033,Georgia,Camilla
24042,Georgia,Canton
25164,Georgia,Carrollton
19835,Georgia,Cartersville
1191,Georgia,Cave Spring
7644,Georgia,Centerville
